,SMILES,Subs,Can_Smiles
113,P([c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1)([c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1)[c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1,[c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1,COc1ccc2cc(-c3ccc(P(c4ccc(-c5cc6ccc(OC)cc6oc5=O)cc4)c4ccc(-c5cc6ccc(OC)cc6oc5=O)cc4)cc3)c(=O)oc2c1
114,P([NH]CC)([NH]CC)[NH]CC,[NH]CC,CCNP(NCC)NCC
115,P([c]1c(cccc1)C(=O)OC)([c]1c(cccc1)C(=O)OC)[c]1c(cccc1)C(=O)OC,[c]1c(cccc1)C(=O)OC,COC(=O)c1ccccc1P(c1ccccc1C(=O)OC)c1ccccc1C(=O)OC
116,P([c]1c2ccccc2ccc1)([c]1c2ccccc2ccc1)[c]1c2ccccc2ccc1,[c]1c2ccccc2ccc1,c1ccc2c(P(c3cccc4ccccc34)c3cccc4ccccc34)cccc2c1
117,P([NH]CC=C)([NH]CC=C)[NH]CC=C,[NH]CC=C,C=CCNP(NCC=C)NCC=C
118,P([CH](CC(C)C)CC(C)C)([CH](CC(C)C)CC(C)C)[CH](CC(C)C)CC(C)C,[CH](CC(C)C)CC(C)C,CC(C)CC(CC(C)C)P(C(CC(C)C)CC(C)C)C(CC(C)C)CC(C)C
120,P([C](/C=C/[Si](C)(C)C)[Si](C)(C)C)([C](/C=C/[Si](C)(C)C)[Si](C)(C)C)[C](/C=C/[Si](C)(C)C)[Si](C)(C)C,[C](/C=C/[Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)/C=C/[C](P([C](/C=C/[Si](C)(C)C)[Si](C)(C)C)[C](/C=C/[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C
121,P([N](Cc1ccccc1)Cc1ccccc1)([N](Cc1ccccc1)Cc1ccccc1)[N](Cc1ccccc1)Cc1ccccc1,[N](Cc1ccccc1)Cc1ccccc1,c1ccc(CN(Cc2ccccc2)P(N(Cc2ccccc2)Cc2ccccc2)N(Cc2ccccc2)Cc2ccccc2)cc1
123,P([c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C)([c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C)[c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C,[c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C,CC(=C=C(c1ccccc1)C(C)(C)C)c1ccccc1P(c1ccccc1C(C)=C=C(c1ccccc1)C(C)(C)C)c1ccccc1C(C)=C=C(c1ccccc1)C(C)(C)C
124,P([c]1ccccc1c1c(cccc1)C)([c]1ccccc1c1c(cccc1)C)[c]1ccccc1c1c(cccc1)C,[c]1ccccc1c1c(cccc1)C,Cc1ccccc1-c1ccccc1P(c1ccccc1-c1ccccc1C)c1ccccc1-c1ccccc1C
125,P([C]1=[C]C=CC=C1)([C]1=[C]C=CC=C1)[C]1=[C]C=CC=C1,[C]1=[C]C=CC=C1,[c]1ccccc1P(c1[c]cccc1)c1[c]cccc1
126,P([NH][C@@H](C)c1ccccc1)([NH][C@@H](C)c1ccccc1)[NH][C@@H](C)c1ccccc1,[NH][C@@H](C)c1ccccc1,C[C@H](NP(N[C@@H](C)c1ccccc1)N[C@@H](C)c1ccccc1)c1ccccc1
127,P(Br)(Br)Br,Br,BrP(Br)Br
128,P([C](=C)c1ccccc1)([C](=C)c1ccccc1)[C](=C)c1ccccc1,[C](=C)c1ccccc1,C=C(c1ccccc1)P(C(=C)c1ccccc1)C(=C)c1ccccc1
129,P([C]1(CC1)C#N)([C]1(CC1)C#N)[C]1(CC1)C#N,[C]1(CC1)C#N,N#CC1(P(C2(C#N)CC2)C2(C#N)CC2)CC1
